customer_id,tenure_months,monthly_charges,support_tickets,contract_type,payment_method,paperless_billing,internet_service,avg_monthly_usage_gb,late_payments,region,churn
CUST-00045,22,47.13,0,two-year,bank-transfer,no,dsl,219.6,0,Ontario,1
CUST-00046,72,62.63,1,one-year,bank-transfer,no,none,0.0,0,Ontario,0
CUST-00047,28,85.54,0,month-to-month,bank-transfer,no,fiber,393.2,0,Ontario,0
CUST-00048,72,60.2,0,month-to-month,credit-card,yes,dsl,36.7,1,Ontario,0
CUST-00049,40,48.47,0,one-year,credit-card,no,none,0.0,0,Atlantic,0
CUST-00050,25,67.84,1,month-to-month,bank-transfer,yes,fiber,496.3,2,Ontario,0
CUST-00051,71,45.37,1,month-to-month,bank-transfer,yes,dsl,243.9,1,Ontario,0
CUST-00052,10,49.76,1,month-to-month,bank-transfer,no,fiber,492.4,1,Quebec,1
CUST-00053,20,57.87,1,one-year,electronic-check,no,dsl,146.2,0,Atlantic,1
CUST-00054,53,54.81,2,one-year,credit-card,no,dsl,236.8,0,West,1
CUST-00055,2,62.45,1,one-year,credit-card,yes,dsl,260.1,0,West,0
CUST-00056,27,73.14,2,one-year,credit-card,yes,fiber,250.7,1,Atlantic,0
CUST-00057,27,61.98,1,month-to-month,credit-card,yes,dsl,215.9,1,Quebec,0
CUST-00058,34,81.52,0,one-year,bank-transfer,no,fiber,616.9,0,Atlantic,0
CUST-00059,24,57.67,1,month-to-month,electronic-check,yes,fiber,415.2,1,Ontario,1
CUST-00060,51,82.12,0,month-to-month,mailed-check,yes,fiber,225.6,1,West,1
CUST-00061,15,52.73,2,one-year,electronic-check,yes,dsl,120.9,0,West,0
CUST-00062,56,78.43,1,month-to-month,bank-transfer,yes,fiber,285.8,0,Atlantic,1
CUST-00063,11,83.73,1,one-year,credit-card,yes,fiber,386.1,0,Quebec,0
CUST-00064,36,67.81,0,one-year,bank-transfer,yes,dsl,86.0,1,West,1
CUST-00065,66,74.36,1,one-year,bank-transfer,yes,fiber,519.1,0,Ontario,0
CUST-00066,13,74.87,0,month-to-month,electronic-check,yes,fiber,506.2,0,Quebec,1
CUST-00067,17,82.37,0,month-to-month,bank-transfer,no,fiber,469.2,1,Ontario,0
CUST-00068,58,57.24,1,month-to-month,credit-card,yes,fiber,544.2,0,Quebec,0
CUST-00069,32,47.01,2,month-to-month,credit-card,no,dsl,141.9,1,West,0
CUST-00070,5,70.07,3,month-to-month,credit-card,yes,fiber,446.3,1,Ontario,0
CUST-00071,33,59.01,1,month-to-month,mailed-check,yes,fiber,626.5,1,Ontario,1
CUST-00072,45,35.15,1,month-to-month,credit-card,yes,none,61.7,0,Ontario,0
CUST-00073,59,53.57,0,two-year,credit-card,yes,dsl,239.5,0,West,0
CUST-00074,35,57.91,1,month-to-month,credit-card,yes,dsl,124.8,1,West,0
CUST-00075,41,56.4,1,month-to-month,electronic-check,yes,dsl,154.6,0,West,1
CUST-00076,72,68.23,1,month-to-month,bank-transfer,yes,dsl,104.7,1,Ontario,0
CUST-00077,54,79.02,1,month-to-month,electronic-check,no,fiber,582.9,0,West,0
CUST-00078,23,56.25,2,one-year,bank-transfer,yes,dsl,57.6,0,West,0
CUST-00079,25,53.5,1,month-to-month,credit-card,yes,dsl,267.7,1,Ontario,1
CUST-00080,64,72.5,0,one-year,electronic-check,no,fiber,489.4,0,Ontario,0
CUST-00081,35,72.69,2,one-year,credit-card,yes,fiber,303.7,2,Quebec,0
CUST-00082,31,99.45,2,month-to-month,credit-card,yes,fiber,537.1,1,Ontario,0
CUST-00083,22,41.7,1,two-year,bank-transfer,yes,dsl,168.0,0,Ontario,0
CUST-00084,62,47.27,2,month-to-month,credit-card,yes,dsl,77.7,0,Ontario,0
CUST-00085,14,45.73,1,month-to-month,credit-card,yes,dsl,221.0,1,Ontario,1
CUST-00086,20,75.83,0,month-to-month,electronic-check,no,fiber,370.1,0,Ontario,1
CUST-00087,62,75.41,0,one-year,bank-transfer,yes,fiber,422.6,0,Ontario,0
CUST-00088,61,66.98,0,month-to-month,credit-card,yes,fiber,397.0,0,West,0
CUST-00089,72,66.41,0,month-to-month,bank-transfer,no,dsl,115.3,2,Quebec,0
CUST-00090,27,41.88,2,month-to-month,electronic-check,yes,none,0.0,3,Quebec,1
CUST-00091,23,66.85,1,month-to-month,credit-card,no,dsl,257.7,0,West,1
CUST-00092,24,50.64,2,one-year,credit-card,no,none,39.6,1,Quebec,0
CUST-00093,6,34.62,0,month-to-month,electronic-check,yes,dsl,212.2,0,Ontario,0
CUST-00094,3,45.2,1,month-to-month,electronic-check,yes,none,0.0,0,Ontario,0
CUST-00095,35,59.45,0,month-to-month,mailed-check,yes,fiber,444.4,0,Ontario,0
CUST-00096,21,75.62,2,one-year,bank-transfer,yes,fiber,377.4,1,Quebec,1
CUST-00097,15,72.23,2,month-to-month,credit-card,yes,fiber,376.0,0,Quebec,0
CUST-00098,31,72.68,2,month-to-month,bank-transfer,yes,fiber,585.4,2,Ontario,1
CUST-00099,36,60.35,0,month-to-month,electronic-check,yes,fiber,515.2,0,Quebec,0
CUST-00100,26,83.82,0,two-year,credit-card,yes,fiber,392.3,0,Atlantic,0
CUST-00101,26,24.45,2,two-year,bank-transfer,no,none,0.0,1,Ontario,1
CUST-00102,21,80.88,1,one-year,credit-card,yes,fiber,295.4,1,Quebec,0
CUST-00103,48,22.97,2,month-to-month,electronic-check,yes,none,0.0,1,Quebec,1
CUST-00104,18,56.81,0,two-year,electronic-check,yes,dsl,199.2,0,West,0
CUST-00105,12,75.95,0,one-year,bank-transfer,yes,dsl,200.1,0,West,0
CUST-00106,20,81.8,2,one-year,mailed-check,yes,dsl,202.6,0,West,0
CUST-00107,34,56.0,1,month-to-month,mailed-check,yes,fiber,468.4,2,Ontario,0
CUST-00108,50,49.6,2,month-to-month,credit-card,yes,dsl,101.7,1,Quebec,0
CUST-00109,72,67.51,1,month-to-month,bank-transfer,yes,fiber,568.2,1,West,0
CUST-00110,31,61.68,0,two-year,electronic-check,yes,none,0.0,0,Ontario,0
CUST-00111,72,72.28,0,month-to-month,credit-card,yes,fiber,465.1,0,Atlantic,0
CUST-00112,17,84.28,1,month-to-month,bank-transfer,yes,fiber,384.2,0,Ontario,1
CUST-00113,15,60.15,1,month-to-month,credit-card,no,dsl,216.5,1,Quebec,0
CUST-00114,40,44.41,2,one-year,mailed-check,yes,dsl,366.5,0,Quebec,0
CUST-00115,44,53.47,1,month-to-month,bank-transfer,yes,fiber,355.9,1,Quebec,1
CUST-00116,33,50.56,0,two-year,electronic-check,no,dsl,95.2,0,West,0
CUST-00117,72,97.33,1,one-year,bank-transfer,yes,fiber,366.5,1,Ontario,0
CUST-00118,18,59.7,2,one-year,credit-card,yes,dsl,161.7,1,Quebec,0
CUST-00119,70,84.07,1,month-to-month,electronic-check,yes,fiber,395.7,0,Quebec,0
CUST-00120,15,58.11,1,one-year,credit-card,yes,fiber,351.5,0,West,0
CUST-00121,47,69.59,1,one-year,credit-card,yes,fiber,435.8,0,Quebec,0
CUST-00122,30,81.18,3,one-year,bank-transfer,yes,fiber,572.7,1,Atlantic,0
CUST-00123,35,61.54,2,month-to-month,electronic-check,no,fiber,427.3,1,West,0
CUST-00124,40,72.33,2,month-to-month,bank-transfer,yes,fiber,431.8,1,Ontario,0
CUST-00125,31,63.76,0,month-to-month,credit-card,yes,fiber,469.2,1,West,0
CUST-00126,26,81.68,1,month-to-month,credit-card,no,fiber,495.1,1,Atlantic,0
CUST-00127,5,61.18,0,month-to-month,credit-card,yes,dsl,306.7,0,Ontario,1
CUST-00128,55,80.18,1,month-to-month,credit-card,no,fiber,460.4,0,Quebec,0
CUST-00129,9,66.15,0,month-to-month,bank-transfer,no,dsl,189.8,3,Ontario,0
CUST-00130,21,35.61,2,one-year,credit-card,no,none,0.0,1,West,0
CUST-00131,37,83.53,1,month-to-month,credit-card,yes,fiber,502.9,1,Ontario,1
CUST-00132,11,50.81,1,two-year,electronic-check,yes,dsl,118.2,2,West,0
CUST-00133,26,79.57,0,one-year,electronic-check,no,fiber,365.6,1,Ontario,0
CUST-00134,51,52.3,5,month-to-month,credit-card,yes,fiber,456.4,0,Quebec,1
CUST-00135,21,49.16,0,one-year,bank-transfer,yes,dsl,321.0,0,Ontario,0
CUST-00136,27,81.32,2,month-to-month,credit-card,yes,dsl,251.7,0,West,0
CUST-00137,13,63.42,1,two-year,mailed-check,yes,dsl,186.8,0,Quebec,0
CUST-00138,23,79.42,2,month-to-month,credit-card,no,fiber,356.6,1,Quebec,1
CUST-00139,9,48.35,0,one-year,credit-card,no,dsl,319.4,0,Ontario,0
CUST-00140,34,61.51,0,month-to-month,bank-transfer,yes,fiber,435.2,2,Ontario,0
CUST-00141,7,70.22,2,month-to-month,credit-card,yes,fiber,415.3,0,Quebec,1
CUST-00142,17,72.3,3,month-to-month,credit-card,yes,fiber,487.2,1,Atlantic,0
CUST-00143,30,58.1,0,two-year,credit-card,yes,none,0.0,0,Ontario,0
CUST-00144,25,83.7,3,one-year,electronic-check,yes,fiber,376.0,4,West,1
CUST-00145,38,58.14,1,month-to-month,electronic-check,no,dsl,134.1,2,Ontario,0
CUST-00146,27,57.69,1,month-to-month,electronic-check,yes,dsl,133.9,0,West,1
CUST-00147,5,64.96,1,month-to-month,electronic-check,no,dsl,94.2,0,Ontario,0
CUST-00148,11,43.15,1,month-to-month,bank-transfer,yes,dsl,84.7,1,Quebec,0
CUST-00149,29,36.83,1,month-to-month,mailed-check,yes,dsl,272.6,1,Ontario,1
CUST-00150,61,80.81,0,month-to-month,electronic-check,no,fiber,496.9,1,Ontario,0
CUST-00151,53,73.76,1,two-year,electronic-check,yes,fiber,370.1,1,Ontario,0
CUST-00152,72,43.22,1,two-year,electronic-check,yes,dsl,265.5,1,Ontario,0
CUST-00153,19,51.0,1,month-to-month,bank-transfer,yes,fiber,466.3,0,Quebec,0
CUST-00154,50,82.39,3,month-to-month,credit-card,yes,fiber,412.5,0,Atlantic,1
CUST-00155,48,67.52,2,month-to-month,bank-transfer,yes,fiber,335.8,1,Quebec,0
CUST-00156,72,77.2,3,one-year,credit-card,no,fiber,469.0,1,Atlantic,0
CUST-00157,67,70.23,2,month-to-month,bank-transfer,yes,fiber,598.6,1,Quebec,0
CUST-00158,36,72.64,2,one-year,credit-card,yes,fiber,441.2,0,Ontario,0
CUST-00159,44,31.78,1,one-year,credit-card,yes,none,96.9,1,Ontario,0
CUST-00160,39,72.2,3,one-year,mailed-check,no,fiber,422.0,0,Ontario,0
CUST-00161,28,44.06,1,month-to-month,electronic-check,yes,none,90.4,1,Ontario,0
CUST-00162,42,35.1,1,two-year,bank-transfer,no,none,0.0,1,West,0
CUST-00163,33,69.51,1,month-to-month,bank-transfer,yes,fiber,235.5,0,West,0
CUST-00164,32,63.38,0,month-to-month,bank-transfer,no,dsl,128.7,0,Quebec,0
CUST-00165,72,64.08,0,month-to-month,mailed-check,no,dsl,201.2,0,Quebec,0
CUST-00166,36,45.06,1,month-to-month,electronic-check,no,dsl,282.0,0,Ontario,0
CUST-00167,31,72.7,2,two-year,electronic-check,no,fiber,427.0,0,Quebec,0
CUST-00168,26,67.5,1,one-year,bank-transfer,yes,fiber,442.5,1,Ontario,0
CUST-00169,24,73.14,0,month-to-month,bank-transfer,yes,fiber,390.1,2,Ontario,1
CUST-00170,10,72.06,0,two-year,electronic-check,yes,dsl,322.7,1,Ontario,0
CUST-00171,28,41.77,2,month-to-month,mailed-check,yes,none,139.6,0,Ontario,0
CUST-00172,63,79.72,3,month-to-month,bank-transfer,yes,dsl,132.5,1,West,0
CUST-00173,19,59.31,2,month-to-month,bank-transfer,no,dsl,61.1,0,Ontario,0
CUST-00174,72,36.25,1,two-year,bank-transfer,yes,none,0.0,2,Ontario,0
CUST-00175,2,56.79,2,month-to-month,bank-transfer,no,dsl,241.3,2,West,1
CUST-00176,41,74.5,0,month-to-month,mailed-check,no,fiber,451.5,0,Atlantic,0
CUST-00177,34,60.39,3,month-to-month,electronic-check,yes,dsl,123.5,1,Quebec,0
CUST-00178,72,62.58,0,two-year,bank-transfer,yes,fiber,463.1,0,Quebec,0
CUST-00179,17,70.55,0,two-year,bank-transfer,yes,fiber,335.4,0,West,0
CUST-00180,9,65.39,1,one-year,bank-transfer,yes,fiber,507.6,0,Ontario,0
CUST-00181,25,48.81,1,two-year,credit-card,yes,none,0.0,0,Quebec,0
CUST-00182,22,52.78,0,two-year,bank-transfer,yes,fiber,348.1,0,Ontario,0
CUST-00183,6,74.65,2,month-to-month,electronic-check,yes,fiber,408.8,0,Ontario,0
CUST-00184,31,57.06,0,month-to-month,electronic-check,yes,fiber,405.9,1,Atlantic,0
CUST-00185,20,77.54,2,one-year,credit-card,yes,fiber,471.0,0,West,0
CUST-00186,72,68.81,1,one-year,electronic-check,yes,fiber,539.1,1,Atlantic,0
CUST-00187,32,37.92,2,month-to-month,electronic-check,yes,dsl,284.7,1,West,0
CUST-00188,15,66.89,1,month-to-month,credit-card,yes,dsl,203.6,1,Quebec,0
CUST-00189,29,46.58,1,one-year,electronic-check,no,fiber,424.1,0,West,0
CUST-00190,34,72.67,0,month-to-month,electronic-check,yes,fiber,391.7,1,West,0
CUST-00191,44,80.26,1,two-year,electronic-check,yes,fiber,289.7,0,Quebec,0
CUST-00192,30,87.46,2,month-to-month,credit-card,no,fiber,438.4,0,Ontario,1
CUST-00193,72,40.09,0,month-to-month,credit-card,yes,dsl,117.7,1,Quebec,0
CUST-00194,10,51.58,0,two-year,bank-transfer,yes,dsl,293.6,2,Ontario,0
CUST-00195,20,68.38,0,month-to-month,credit-card,no,dsl,172.9,2,Quebec,0
CUST-00196,15,85.09,0,month-to-month,bank-transfer,no,fiber,503.5,0,Ontario,1
CUST-00197,22,70.45,1,one-year,electronic-check,yes,dsl,149.0,0,Quebec,1
CUST-00198,37,99.9,1,two-year,credit-card,yes,fiber,382.6,1,Ontario,0
CUST-00199,35,67.66,0,month-to-month,bank-transfer,no,fiber,491.4,0,Ontario,0
CUST-00200,43,41.91,0,month-to-month,mailed-check,yes,none,35.6,2,Quebec,0
CUST-00201,31,53.37,0,one-year,bank-transfer,yes,dsl,217.4,1,Ontario,0
CUST-00202,33,20.0,0,two-year,bank-transfer,no,none,4.0,0,Atlantic,0
CUST-00203,32,37.05,0,month-to-month,bank-transfer,no,none,79.1,1,Quebec,0
CUST-00204,21,36.06,2,month-to-month,credit-card,yes,dsl,244.8,0,Ontario,0
CUST-00205,19,32.53,0,month-to-month,credit-card,yes,none,0.0,1,Ontario,0
CUST-00206,15,57.58,2,month-to-month,electronic-check,yes,fiber,418.1,1,West,1
CUST-00207,45,77.61,4,month-to-month,bank-transfer,no,fiber,526.3,0,Quebec,0
CUST-00208,3,64.83,1,one-year,credit-card,no,fiber,353.3,0,Ontario,0
CUST-00209,32,54.26,2,month-to-month,credit-card,no,fiber,296.1,2,Ontario,0
CUST-00210,51,82.09,0,month-to-month,electronic-check,yes,fiber,428.2,0,West,1
CUST-00211,60,66.66,1,one-year,credit-card,no,fiber,484.3,0,Atlantic,0
CUST-00212,2,52.46,1,one-year,electronic-check,yes,dsl,150.9,0,Ontario,0
CUST-00213,21,46.73,1,month-to-month,bank-transfer,yes,dsl,299.9,0,Ontario,0
CUST-00214,16,69.07,1,one-year,bank-transfer,no,dsl,346.7,1,Ontario,1
CUST-00215,20,75.84,1,one-year,credit-card,yes,fiber,276.4,3,Ontario,0
CUST-00216,68,50.56,0,one-year,credit-card,yes,dsl,157.4,0,West,0
CUST-00217,16,52.9,0,month-to-month,bank-transfer,yes,fiber,246.0,1,Atlantic,0
CUST-00218,51,99.36,1,month-to-month,electronic-check,no,fiber,496.2,0,Atlantic,0
CUST-00219,33,93.78,2,two-year,credit-card,yes,fiber,382.2,2,West,0
CUST-00220,19,88.15,4,month-to-month,bank-transfer,yes,fiber,399.6,0,Ontario,1
CUST-00221,18,65.62,1,month-to-month,bank-transfer,yes,fiber,537.6,0,Atlantic,0
CUST-00222,35,51.74,0,month-to-month,credit-card,no,dsl,77.1,1,Ontario,0
CUST-00223,28,61.21,1,one-year,bank-transfer,no,dsl,55.7,0,Ontario,0
CUST-00224,5,47.61,1,two-year,credit-card,yes,dsl,0.0,1,West,0
CUST-00225,13,62.61,1,month-to-month,bank-transfer,no,fiber,548.0,0,Ontario,0
CUST-00226,36,72.31,0,two-year,credit-card,yes,dsl,278.2,0,West,0
CUST-00227,10,56.42,0,month-to-month,bank-transfer,yes,dsl,165.0,2,Atlantic,1
CUST-00228,55,61.24,3,month-to-month,credit-card,yes,fiber,331.6,1,West,1
CUST-00229,7,67.0,3,one-year,bank-transfer,yes,dsl,260.9,1,West,0
CUST-00230,24,66.97,1,month-to-month,bank-transfer,yes,fiber,674.1,2,Ontario,0
CUST-00231,46,52.22,1,month-to-month,mailed-check,yes,fiber,420.0,0,Ontario,0
CUST-00232,12,61.08,2,month-to-month,bank-transfer,yes,fiber,337.8,1,West,1
CUST-00233,9,51.58,1,two-year,electronic-check,no,dsl,295.5,1,Quebec,0
CUST-00234,40,75.31,2,one-year,credit-card,yes,fiber,343.7,0,West,0
CUST-00235,52,74.8,2,two-year,bank-transfer,no,fiber,408.8,1,Ontario,0
CUST-00236,25,85.89,2,one-year,credit-card,no,fiber,215.7,1,Ontario,0
CUST-00237,21,35.51,1,month-to-month,bank-transfer,yes,none,0.0,0,Ontario,0
CUST-00238,7,68.11,4,one-year,electronic-check,no,fiber,331.3,0,West,0
CUST-00239,31,86.07,2,month-to-month,electronic-check,yes,fiber,547.0,0,West,1
CUST-00240,4,83.28,0,month-to-month,bank-transfer,yes,fiber,357.0,1,Atlantic,1
CUST-00241,69,54.76,2,two-year,electronic-check,no,dsl,256.3,0,Ontario,0
CUST-00242,26,60.07,0,one-year,credit-card,yes,dsl,181.1,1,Quebec,0
CUST-00243,13,33.01,1,month-to-month,credit-card,yes,none,22.7,0,Ontario,1
CUST-00244,17,60.8,1,month-to-month,electronic-check,no,fiber,484.4,2,Ontario,0
CUST-00245,32,96.07,1,one-year,credit-card,no,fiber,435.5,1,Ontario,0
CUST-00246,20,51.31,1,two-year,credit-card,yes,dsl,134.9,0,Quebec,0
CUST-00247,28,76.1,1,one-year,mailed-check,yes,fiber,371.0,0,Quebec,0
CUST-00248,11,41.09,2,month-to-month,mailed-check,no,dsl,233.3,1,Ontario,0
CUST-00249,61,64.73,0,month-to-month,electronic-check,no,dsl,28.4,1,Quebec,0
CUST-00250,18,60.34,1,month-to-month,bank-transfer,yes,fiber,582.6,0,West,0
CUST-00251,3,55.62,0,one-year,electronic-check,no,none,23.2,2,Ontario,1
CUST-00252,21,75.87,3,two-year,credit-card,yes,dsl,161.3,0,Ontario,0
CUST-00253,16,78.94,0,month-to-month,bank-transfer,yes,fiber,462.6,1,West,1
CUST-00254,58,74.21,2,month-to-month,bank-transfer,no,fiber,389.5,0,West,0
CUST-00255,13,71.03,1,month-to-month,mailed-check,yes,fiber,424.9,0,West,0
CUST-00256,20,56.5,0,one-year,mailed-check,yes,dsl,93.8,1,Ontario,0
CUST-00257,33,77.3,0,two-year,electronic-check,yes,fiber,471.9,0,Quebec,0
CUST-00258,43,73.94,4,month-to-month,credit-card,yes,fiber,433.3,0,West,1
CUST-00259,72,67.31,2,month-to-month,bank-transfer,yes,dsl,205.9,0,Ontario,0
CUST-00260,14,63.36,2,one-year,credit-card,yes,fiber,566.1,1,Quebec,0
CUST-00261,67,89.04,0,month-to-month,mailed-check,yes,fiber,371.6,1,Atlantic,0
CUST-00262,57,52.56,3,two-year,credit-card,yes,dsl,179.0,0,Ontario,0
CUST-00263,15,65.17,0,month-to-month,credit-card,yes,fiber,299.6,1,West,1
CUST-00264,14,76.81,1,month-to-month,electronic-check,yes,fiber,486.8,0,West,0
CUST-00265,38,77.48,0,two-year,bank-transfer,no,fiber,438.5,0,Ontario,0
CUST-00266,28,54.76,1,month-to-month,electronic-check,yes,fiber,441.5,1,West,0
CUST-00267,38,67.95,2,month-to-month,credit-card,yes,fiber,426.6,1,Quebec,0
CUST-00268,22,34.19,2,month-to-month,electronic-check,no,dsl,140.9,0,West,1
CUST-00269,30,30.91,0,month-to-month,credit-card,no,none,224.2,1,West,0
CUST-00270,26,66.36,1,month-to-month,credit-card,no,fiber,443.2,0,West,0
CUST-00271,38,41.12,2,month-to-month,bank-transfer,no,none,37.2,0,Ontario,0
CUST-00272,13,48.73,0,month-to-month,credit-card,no,dsl,93.1,0,West,0
CUST-00273,32,51.21,1,month-to-month,bank-transfer,no,dsl,265.2,0,Atlantic,0
CUST-00274,71,70.69,0,one-year,credit-card,yes,dsl,179.5,0,Quebec,0
CUST-00275,68,78.67,0,one-year,credit-card,yes,dsl,227.9,2,Quebec,0
CUST-00276,35,47.33,0,month-to-month,electronic-check,yes,dsl,266.7,0,Ontario,0
CUST-00277,13,83.7,1,month-to-month,credit-card,no,fiber,431.2,0,West,1
CUST-00278,72,61.07,1,month-to-month,electronic-check,yes,dsl,132.5,1,Ontario,0
CUST-00279,38,54.74,1,two-year,electronic-check,no,fiber,242.1,0,Ontario,0
CUST-00280,72,64.69,0,two-year,credit-card,yes,fiber,407.1,0,Atlantic,0
CUST-00281,39,25.21,3,month-to-month,electronic-check,no,dsl,132.0,0,Atlantic,0
CUST-00282,2,76.4,1,month-to-month,credit-card,yes,fiber,342.8,0,Atlantic,1
CUST-00283,72,61.69,2,month-to-month,bank-transfer,yes,fiber,563.5,3,Quebec,0
CUST-00284,51,74.41,0,month-to-month,credit-card,yes,fiber,523.5,0,Ontario,0
CUST-00285,29,99.99,0,one-year,electronic-check,yes,fiber,284.5,1,Quebec,1
CUST-00286,5,73.73,0,month-to-month,bank-transfer,no,dsl,203.1,1,Ontario,1
CUST-00287,55,48.95,1,month-to-month,bank-transfer,yes,dsl,120.5,0,West,0
CUST-00288,39,62.41,1,month-to-month,mailed-check,yes,fiber,471.2,0,Quebec,0
CUST-00289,72,86.58,0,month-to-month,bank-transfer,yes,fiber,372.0,0,Ontario,0
CUST-00290,72,62.45,0,month-to-month,mailed-check,yes,fiber,394.2,1,Ontario,0
CUST-00291,72,83.41,0,two-year,electronic-check,yes,fiber,521.9,0,Ontario,0
CUST-00292,34,85.73,1,month-to-month,mailed-check,yes,dsl,259.6,0,West,0
CUST-00293,33,64.09,4,two-year,mailed-check,yes,dsl,318.3,4,West,0
CUST-00294,39,85.43,1,month-to-month,mailed-check,no,fiber,421.6,0,Ontario,1
CUST-00295,17,84.21,1,two-year,credit-card,yes,fiber,316.3,0,Ontario,0
CUST-00296,30,32.15,2,two-year,electronic-check,yes,none,90.3,0,Ontario,0
CUST-00297,26,60.05,0,two-year,electronic-check,yes,dsl,268.8,1,Ontario,0
CUST-00298,66,62.96,0,one-year,electronic-check,yes,fiber,493.4,1,Atlantic,0
CUST-00299,72,86.54,0,one-year,credit-card,yes,fiber,376.8,1,West,0
CUST-00300,47,61.61,1,one-year,mailed-check,yes,fiber,349.0,1,Ontario,0
CUST-00301,14,45.36,2,one-year,credit-card,no,none,57.6,2,West,0
CUST-00302,72,84.88,3,month-to-month,bank-transfer,yes,fiber,364.7,0,Ontario,0
CUST-00303,55,67.84,1,month-to-month,bank-transfer,no,fiber,413.8,0,Ontario,0
CUST-00304,37,30.43,3,month-to-month,credit-card,no,none,259.1,1,Quebec,0
CUST-00305,44,55.22,2,two-year,electronic-check,yes,dsl,371.0,1,Ontario,1
CUST-00306,8,63.63,2,month-to-month,credit-card,yes,fiber,507.4,0,Quebec,1
CUST-00307,26,74.64,0,month-to-month,electronic-check,no,fiber,383.7,0,West,1
CUST-00308,69,63.37,2,one-year,electronic-check,yes,fiber,378.6,1,Atlantic,0
